artists	my_genres
Belle and Sebastian	indie rock
The Smiths	post-punk
The Magnetic Fields	indie rock
P:ano	indie rock
The Cure	post-punk
Stars	indie rock
Bad Religion	punk
Elvis Costello	classic rock
The Beatles	classic rock
Radiohead	indie rock
Guided by Voices	indie rock
NOFX	punk
The Strokes	indie rock
Morrissey	indie rock
Joy Division	post-punk
New Order	post-punk
Depeche Mode	post-punk
Wu-Tang Clan	hip-hop
The New Pornographers	indie rock
Peter Tosh	reggae
Cocteau Twins	post-punk
The Sisters of Mercy	post-punk
Lowlife	post-punk
Tokyo Police Club	indie rock
Johann Sebastian Bach	baroque
Echo and the Bunnymen	post-punk
Beirut	indie rock
Gary Numan	post-punk
They Might Be Giants	indie rock
KRS-One	hip-hop
Little Nemo	post-punk
Rancid	punk
The Coup	hip-hop
And Also The Trees	post-punk
Pet Shop Boys	post-punk
No Kids	indie rock
Dead Can Dance	post-punk
Arcade Fire	indie rock
dead prez	hip-hop
Kate Bush	indie rock
INDK	punk
The Divine Comedy	indie rock
The Velvet Underground	classic rock
Anti-Flag	punk
Broken Social Scene	indie rock
Metric	indie rock
Talking Heads	post-punk
Pixies	indie rock
Public Image Ltd.	post-punk
Sex Pistols	punk
The Psychedelic Furs	post-punk
The Church	post-punk
Black Uhuru	reggae
Bob Marley	reggae
A Tribe Called Quest	hip-hop
Busta Rhymes	hip-hop
Leaders of the New School	hip-hop
Choking Victim	punk
The National	indie rock
Ghostface Killah	hip-hop
Rakim	hip-hop
De La Soul	hip-hop
Public Enemy	hip-hop
Raekwon	hip-hop
Boogie Down Productions	hip-hop
Operation Ivy	punk
Catch 22	punk
The Kinks	classic rock
Bauhaus	post-punk
Masta Killa	hip-hop
